"Date","Time","Test Total Time",,
"03/04/24","16:41:04","(hh:mm:ss): 2:39:58",,
,,,,
"Rated Capacity","Tested Capacity",,,
"15.30 Ah","8.00 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","AGM","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.000 Amps","Minutes",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Miscanthus-12A-3-4-2024","0.000","13.255","0.000","999.90"
"Miscanthus-12A-3-4-2024","1.000","13.017","3.000","999.90"
"Miscanthus-12A-3-4-2024","2.000","12.997","3.000","999.90"
"Miscanthus-12A-3-4-2024","3.000","12.977","3.000","999.90"
"Miscanthus-12A-3-4-2024","4.000","12.954","3.000","999.90"
"Miscanthus-12A-3-4-2024","5.000","12.935","3.000","999.90"
"Miscanthus-12A-3-4-2024","6.000","12.919","3.000","999.90"
"Miscanthus-12A-3-4-2024","7.000","12.899","3.000","999.90"
"Miscanthus-12A-3-4-2024","8.000","12.884","3.000","999.90"
"Miscanthus-12A-3-4-2024","9.000","12.868","3.000","999.90"
"Miscanthus-12A-3-4-2024","10.000","12.853","3.000","999.90"
"Miscanthus-12A-3-4-2024","11.000","12.837","3.000","999.90"
"Miscanthus-12A-3-4-2024","12.000","12.825","3.000","999.90"
"Miscanthus-12A-3-4-2024","13.000","12.817","3.000","999.90"
"Miscanthus-12A-3-4-2024","14.000","12.806","3.000","999.90"
"Miscanthus-12A-3-4-2024","15.000","12.790","3.000","999.90"
"Miscanthus-12A-3-4-2024","16.000","12.782","3.000","999.90"
"Miscanthus-12A-3-4-2024","17.000","12.771","3.000","999.90"
"Miscanthus-12A-3-4-2024","18.000","12.763","3.000","999.90"
"Miscanthus-12A-3-4-2024","19.000","12.755","3.000","999.90"
"Miscanthus-12A-3-4-2024","20.000","12.747","3.000","999.90"
"Miscanthus-12A-3-4-2024","21.000","12.739","3.000","999.90"
"Miscanthus-12A-3-4-2024","22.000","12.732","3.000","999.90"
"Miscanthus-12A-3-4-2024","23.000","12.728","3.000","999.90"
"Miscanthus-12A-3-4-2024","24.000","12.720","3.000","999.90"
"Miscanthus-12A-3-4-2024","25.000","12.716","3.000","999.90"
"Miscanthus-12A-3-4-2024","26.000","12.712","3.000","999.90"
"Miscanthus-12A-3-4-2024","27.000","12.704","3.000","999.90"
"Miscanthus-12A-3-4-2024","28.000","12.704","3.000","999.90"
"Miscanthus-12A-3-4-2024","29.000","12.696","3.000","999.90"
"Miscanthus-12A-3-4-2024","30.000","12.696","3.000","999.90"
"Miscanthus-12A-3-4-2024","31.000","12.689","3.000","999.90"
"Miscanthus-12A-3-4-2024","32.000","12.689","3.000","999.90"
"Miscanthus-12A-3-4-2024","33.000","12.689","3.000","999.90"
"Miscanthus-12A-3-4-2024","34.000","12.681","3.000","999.90"
"Miscanthus-12A-3-4-2024","35.000","12.681","3.000","999.90"
"Miscanthus-12A-3-4-2024","36.000","12.681","3.000","999.90"
"Miscanthus-12A-3-4-2024","37.000","12.677","3.000","999.90"
"Miscanthus-12A-3-4-2024","38.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","39.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","40.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","41.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","42.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","43.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","44.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","45.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","46.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","47.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","48.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","49.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","50.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","51.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","52.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","53.000","12.665","3.000","999.90"
