"Date","Time","Test Total Time",,
"02/02/23","19:17:23","(hh:mm:ss): 0:53:59",,
,,,,
"Rated Capacity","Tested Capacity",,,
"18.00 Ah","10.79 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","interstate","Battery C",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"12.000 Amps","AmpHrs",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"BatteryC-12A-2-2-2023","0.000","13.770","0.000","999.90"
"BatteryC-12A-2-2-2023","1.000","13.372","4.772","999.90"
"BatteryC-12A-2-2-2023","2.000","12.571","12.000","999.90"
"BatteryC-12A-2-2-2023","3.000","12.497","12.000","999.90"
"BatteryC-12A-2-2-2023","4.000","12.435","12.000","999.90"
"BatteryC-12A-2-2-2023","5.000","12.380","12.000","999.90"
"BatteryC-12A-2-2-2023","6.000","12.333","12.000","999.90"
"BatteryC-12A-2-2-2023","7.000","12.298","12.000","999.90"
"BatteryC-12A-2-2-2023","8.000","12.271","12.000","999.90"
"BatteryC-12A-2-2-2023","9.000","12.251","12.000","999.90"
"BatteryC-12A-2-2-2023","10.000","12.243","12.000","999.90"
"BatteryC-12A-2-2-2023","11.000","12.228","12.000","999.90"
"BatteryC-12A-2-2-2023","12.000","12.208","12.000","999.90"
"BatteryC-12A-2-2-2023","13.000","12.205","12.000","999.90"
"BatteryC-12A-2-2-2023","14.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","15.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","16.000","12.193","12.000","999.90"
"BatteryC-12A-2-2-2023","17.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","18.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","19.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","20.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","21.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","22.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","23.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","24.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","25.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","26.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","27.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","28.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","29.000","12.193","12.000","999.90"
"BatteryC-12A-2-2-2023","30.000","12.193","12.000","999.90"
"BatteryC-12A-2-2-2023","31.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","32.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","33.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","34.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","35.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","36.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","37.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","38.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","39.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","40.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","41.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","42.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","43.000","12.201","12.000","999.90"
"BatteryC-12A-2-2-2023","44.000","12.205","12.000","999.90"
"BatteryC-12A-2-2-2023","45.000","12.193","12.000","999.90"
"BatteryC-12A-2-2-2023","46.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","47.000","12.181","12.000","999.90"
"BatteryC-12A-2-2-2023","48.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","49.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","50.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","51.000","12.189","12.000","999.90"
"BatteryC-12A-2-2-2023","52.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","53.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","54.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","55.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","56.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","57.000","12.197","12.000","999.90"
"BatteryC-12A-2-2-2023","58.000","12.197","12.000","999.90"
