"Date","Time","Test Total Time",,
"03/10/23","19:09:23","(hh:mm:ss): 0:00:00",,
,,,,
"Rated Capacity","Tested Capacity",,,
"18.00 Ah","0.00 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"24.000 mo","Interstate battery","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.600 Amps","Seconds",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Jupiter","0.000","13.001","0.000","999.90"
"Jupiter","1.000","12.821","3.600","999.90"
"Jupiter","2.000","12.802","3.600","999.90"
"Jupiter","3.000","12.790","3.600","999.90"
"Jupiter","4.000","12.763","3.600","999.90"
"Jupiter","5.000","12.728","3.600","999.90"
"Jupiter","6.000","12.708","3.600","999.90"
"Jupiter","7.000","12.700","3.600","999.90"
"Jupiter","8.000","12.681","3.600","999.90"
"Jupiter","9.000","12.665","3.600","999.90"
"Jupiter","10.000","12.653","3.600","999.90"
"Jupiter","11.000","12.634","3.600","999.90"
"Jupiter","12.000","12.622","3.600","999.90"
"Jupiter","13.000","12.611","3.600","999.90"
"Jupiter","14.000","12.611","3.600","999.90"
"Jupiter","15.000","12.603","3.600","999.90"
"Jupiter","16.000","12.595","3.600","999.90"
"Jupiter","17.000","12.591","3.600","999.90"
"Jupiter","18.000","12.583","3.600","999.90"
"Jupiter","19.000","12.579","3.600","999.90"
"Jupiter","20.000","12.571","3.600","999.90"
"Jupiter","21.000","12.571","3.600","999.90"
"Jupiter","22.000","12.571","3.600","999.90"
"Jupiter","23.000","12.564","3.600","999.90"
"Jupiter","24.000","12.564","3.600","999.90"
"Jupiter","25.000","12.556","3.600","999.90"
"Jupiter","26.000","12.556","3.600","999.90"
"Jupiter","27.000","12.556","3.600","999.90"
"Jupiter","28.000","12.556","3.600","999.90"
"Jupiter","29.000","12.556","3.600","999.90"
"Jupiter","30.000","12.556","3.600","999.90"
