"Date","Time","Test Total Time",,
"03/14/23","17:47:05","(hh:mm:ss): 1:07:33",,
,,,,
"Rated Capacity","Tested Capacity",,,
"18.00 Ah","13.51 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"24.000 mo","Interstate battery","Jupiter",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"12.000 Amps","Seconds",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"3-14-2023-Jupiter-12A","0.000","13.126","0.000","999.90"
"3-14-2023-Jupiter-12A","1.000","13.063","1.829","999.90"
"3-14-2023-Jupiter-12A","2.000","12.587","12.000","999.90"
"3-14-2023-Jupiter-12A","3.000","12.525","12.000","999.90"
"3-14-2023-Jupiter-12A","4.000","12.466","12.000","999.90"
"3-14-2023-Jupiter-12A","5.000","12.415","12.000","999.90"
"3-14-2023-Jupiter-12A","6.000","12.372","12.000","999.90"
"3-14-2023-Jupiter-12A","7.000","12.337","12.000","999.90"
"3-14-2023-Jupiter-12A","8.000","12.302","12.000","999.90"
"3-14-2023-Jupiter-12A","9.000","12.283","12.000","999.90"
"3-14-2023-Jupiter-12A","10.000","12.263","12.000","999.90"
"3-14-2023-Jupiter-12A","11.000","12.251","12.000","999.90"
"3-14-2023-Jupiter-12A","12.000","12.243","12.000","999.90"
"3-14-2023-Jupiter-12A","13.000","12.236","12.000","999.90"
"3-14-2023-Jupiter-12A","14.000","12.228","12.000","999.90"
"3-14-2023-Jupiter-12A","15.000","12.228","12.000","999.90"
"3-14-2023-Jupiter-12A","16.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","17.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","18.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","19.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","20.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","21.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","22.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","23.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","24.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","25.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","26.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","27.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","28.000","12.212","12.000","999.90"
"3-14-2023-Jupiter-12A","29.000","12.216","12.000","999.90"
"3-14-2023-Jupiter-12A","30.000","12.216","12.000","999.90"
"3-14-2023-Jupiter-12A","31.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","32.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","33.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","34.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","35.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","36.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","37.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","38.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","39.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","40.000","12.220","12.000","999.90"
"3-14-2023-Jupiter-12A","41.000","12.224","12.000","999.90"
"3-14-2023-Jupiter-12A","42.000","12.224","12.000","999.90"
