"Date","Time","Test Total Time",,
"03/29/23","18:19:36","(hh:mm:ss): 0:53:54",,
,,,,
"Rated Capacity","Tested Capacity",,,
"18.00 Ah","10.78 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"24.000 mo","Interstate battery","Mercury",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"12.000 Amps","Seconds",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Pinkie Pie","0.000","12.977","0.000","999.90"
"Pinkie Pie","1.000","12.466","12.000","999.90"
"Pinkie Pie","2.000","12.415","12.000","999.90"
"Pinkie Pie","3.000","12.329","12.000","999.90"
"Pinkie Pie","4.000","12.263","12.000","999.90"
"Pinkie Pie","5.000","12.208","12.000","999.90"
"Pinkie Pie","6.000","12.189","12.000","999.90"
"Pinkie Pie","7.000","12.154","12.000","999.90"
"Pinkie Pie","8.000","12.115","12.000","999.90"
"Pinkie Pie","9.000","12.099","12.000","999.90"
"Pinkie Pie","10.000","12.087","12.000","999.90"
"Pinkie Pie","11.000","12.080","12.000","999.90"
"Pinkie Pie","12.000","12.076","12.000","999.90"
"Pinkie Pie","13.000","12.072","12.000","999.90"
"Pinkie Pie","14.000","12.072","12.000","999.90"
"Pinkie Pie","15.000","12.068","12.000","999.90"
"Pinkie Pie","16.000","12.064","12.000","999.90"
"Pinkie Pie","17.000","12.064","12.000","999.90"
"Pinkie Pie","18.000","12.064","12.000","999.90"
"Pinkie Pie","19.000","12.064","12.000","999.90"
"Pinkie Pie","20.000","12.064","12.000","999.90"
"Pinkie Pie","21.000","12.064","12.000","999.90"
"Pinkie Pie","22.000","12.064","12.000","999.90"
"Pinkie Pie","23.000","12.064","12.000","999.90"
"Pinkie Pie","24.000","12.064","12.000","999.90"
"Pinkie Pie","25.000","12.068","12.000","999.90"
"Pinkie Pie","26.000","12.072","12.000","999.90"
"Pinkie Pie","27.000","12.072","12.000","999.90"
"Pinkie Pie","28.000","12.072","12.000","999.90"
"Pinkie Pie","29.000","12.072","12.000","999.90"
"Pinkie Pie","30.000","12.072","12.000","999.90"
"Pinkie Pie","31.000","12.072","12.000","999.90"
"Pinkie Pie","32.000","12.072","12.000","999.90"
"Pinkie Pie","33.000","12.076","12.000","999.90"
"Pinkie Pie","34.000","12.080","12.000","999.90"
"Pinkie Pie","35.000","12.080","12.000","999.90"
"Pinkie Pie","36.000","12.080","12.000","999.90"
"Pinkie Pie","37.000","12.080","12.000","999.90"
"Pinkie Pie","38.000","12.080","12.000","999.90"
"Pinkie Pie","39.000","12.080","12.000","999.90"
"Pinkie Pie","40.000","12.080","12.000","999.90"
"Pinkie Pie","41.000","12.080","12.000","999.90"
"Pinkie Pie","42.000","12.080","12.000","999.90"
"Pinkie Pie","43.000","12.084","12.000","999.90"
"Pinkie Pie","44.000","12.087","12.000","999.90"
"Pinkie Pie","45.000","12.087","12.000","999.90"
"Pinkie Pie","46.000","12.087","12.000","999.90"
"Pinkie Pie","47.000","12.087","12.000","999.90"
"Pinkie Pie","48.000","12.087","12.000","999.90"
"Pinkie Pie","49.000","12.087","12.000","999.90"
"Pinkie Pie","50.000","12.087","12.000","999.90"
"Pinkie Pie","51.000","12.087","12.000","999.90"
"Pinkie Pie","52.000","12.087","12.000","999.90"
"Pinkie Pie","53.000","12.087","12.000","999.90"
"Pinkie Pie","54.000","12.091","12.000","999.90"
"Pinkie Pie","55.000","12.091","12.000","999.90"
"Pinkie Pie","56.000","12.095","12.000","999.90"
"Pinkie Pie","57.000","12.095","12.000","999.90"
"Pinkie Pie","58.000","12.095","12.000","999.90"
"Pinkie Pie","59.000","12.095","12.000","999.90"
"Pinkie Pie","60.000","12.095","12.000","999.90"
"Pinkie Pie","61.000","12.095","12.000","999.90"
"Pinkie Pie","62.000","12.095","12.000","999.90"
"Pinkie Pie","63.000","12.095","12.000","999.90"
"Pinkie Pie","64.000","12.095","12.000","999.90"
"Pinkie Pie","65.000","12.095","12.000","999.90"
"Pinkie Pie","66.000","12.095","12.000","999.90"
"Pinkie Pie","67.000","12.095","12.000","999.90"
"Pinkie Pie","68.000","12.095","12.000","999.90"
"Pinkie Pie","69.000","12.099","12.000","999.90"
"Pinkie Pie","70.000","12.099","12.000","999.90"
"Pinkie Pie","71.000","12.103","12.000","999.90"
"Pinkie Pie","72.000","12.103","12.000","999.90"
"Pinkie Pie","73.000","12.103","12.000","999.90"
"Pinkie Pie","74.000","12.103","12.000","999.90"
"Pinkie Pie","75.000","12.103","12.000","999.90"
"Pinkie Pie","76.000","12.103","12.000","999.90"
"Pinkie Pie","77.000","12.103","12.000","999.90"
"Pinkie Pie","78.000","12.103","12.000","999.90"
"Pinkie Pie","79.000","12.103","12.000","999.90"
"Pinkie Pie","80.000","12.103","12.000","999.90"
"Pinkie Pie","81.000","12.103","12.000","999.90"
"Pinkie Pie","82.000","12.103","12.000","999.90"
"Pinkie Pie","83.000","12.103","12.000","999.90"
"Pinkie Pie","84.000","12.103","12.000","999.90"
"Pinkie Pie","85.000","12.103","12.000","999.90"
"Pinkie Pie","86.000","12.103","12.000","999.90"
"Pinkie Pie","87.000","12.103","12.000","999.90"
"Pinkie Pie","88.000","12.103","12.000","999.90"
"Pinkie Pie","89.000","12.103","12.000","999.90"
"Pinkie Pie","90.000","12.103","12.000","999.90"
"Pinkie Pie","91.000","12.107","12.000","999.90"
"Pinkie Pie","92.000","12.107","12.000","999.90"
"Pinkie Pie","93.000","12.107","12.000","999.90"
"Pinkie Pie","94.000","12.107","12.000","999.90"
"Pinkie Pie","95.000","12.111","12.000","999.90"
"Pinkie Pie","96.000","12.111","12.000","999.90"
"Pinkie Pie","97.000","12.111","12.000","999.90"
"Pinkie Pie","98.000","12.111","12.000","999.90"
"Pinkie Pie","99.000","12.111","12.000","999.90"
"Pinkie Pie","100.000","12.111","12.000","999.90"
"Pinkie Pie","101.000","12.111","12.000","999.90"
"Pinkie Pie","102.000","12.111","12.000","999.90"
"Pinkie Pie","103.000","12.111","12.000","999.90"
"Pinkie Pie","104.000","12.111","12.000","999.90"
"Pinkie Pie","105.000","12.111","12.000","999.90"
"Pinkie Pie","106.000","12.111","12.000","999.90"
"Pinkie Pie","107.000","12.111","12.000","999.90"
"Pinkie Pie","108.000","12.111","12.000","999.90"
"Pinkie Pie","109.000","12.111","12.000","999.90"
"Pinkie Pie","110.000","12.111","12.000","999.90"
"Pinkie Pie","111.000","12.111","12.000","999.90"
"Pinkie Pie","112.000","12.111","12.000","999.90"
"Pinkie Pie","113.000","12.111","12.000","999.90"
"Pinkie Pie","114.000","12.111","12.000","999.90"
"Pinkie Pie","115.000","12.111","12.000","999.90"
"Pinkie Pie","116.000","12.111","12.000","999.90"
"Pinkie Pie","117.000","12.111","12.000","999.90"
"Pinkie Pie","118.000","12.111","12.000","999.90"
"Pinkie Pie","119.000","12.111","12.000","999.90"
"Pinkie Pie","120.000","12.111","12.000","999.90"
"Pinkie Pie","121.000","12.111","12.000","999.90"
"Pinkie Pie","122.000","12.111","12.000","999.90"
"Pinkie Pie","123.000","12.111","12.000","999.90"
"Pinkie Pie","124.000","12.111","12.000","999.90"
"Pinkie Pie","125.000","12.111","12.000","999.90"
"Pinkie Pie","126.000","12.111","12.000","999.90"
"Pinkie Pie","127.000","12.111","12.000","999.90"
"Pinkie Pie","128.000","12.111","12.000","999.90"
"Pinkie Pie","129.000","12.111","12.000","999.90"
"Pinkie Pie","130.000","12.111","12.000","999.90"
"Pinkie Pie","131.000","12.111","12.000","999.90"
"Pinkie Pie","132.000","12.111","12.000","999.90"
"Pinkie Pie","133.000","12.115","12.000","999.90"
"Pinkie Pie","134.000","12.115","12.000","999.90"
"Pinkie Pie","135.000","12.115","12.000","999.90"
"Pinkie Pie","136.000","12.111","12.000","999.90"
"Pinkie Pie","137.000","12.111","12.000","999.90"
"Pinkie Pie","138.000","12.111","12.000","999.90"
"Pinkie Pie","139.000","12.111","12.000","999.90"
"Pinkie Pie","140.000","12.111","12.000","999.90"
"Pinkie Pie","141.000","12.111","12.000","999.90"
"Pinkie Pie","142.000","12.111","12.000","999.90"
"Pinkie Pie","143.000","12.111","12.000","999.90"
"Pinkie Pie","144.000","12.115","12.000","999.90"
"Pinkie Pie","145.000","12.115","12.000","999.90"
"Pinkie Pie","146.000","12.115","12.000","999.90"
"Pinkie Pie","147.000","12.115","12.000","999.90"
"Pinkie Pie","148.000","12.115","12.000","999.90"
"Pinkie Pie","149.000","12.115","12.000","999.90"
"Pinkie Pie","150.000","12.115","12.000","999.90"
"Pinkie Pie","151.000","12.115","12.000","999.90"
"Pinkie Pie","152.000","12.115","12.000","999.90"
"Pinkie Pie","153.000","12.119","12.000","999.90"
"Pinkie Pie","154.000","12.119","12.000","999.90"
"Pinkie Pie","155.000","12.119","12.000","999.90"
"Pinkie Pie","156.000","12.119","12.000","999.90"
"Pinkie Pie","157.000","12.119","12.000","999.90"
"Pinkie Pie","158.000","12.119","12.000","999.90"
"Pinkie Pie","159.000","12.115","12.000","999.90"
"Pinkie Pie","160.000","12.119","12.000","999.90"
"Pinkie Pie","161.000","12.119","12.000","999.90"
"Pinkie Pie","162.000","12.119","12.000","999.90"
"Pinkie Pie","163.000","12.119","12.000","999.90"
"Pinkie Pie","164.000","12.119","12.000","999.90"
"Pinkie Pie","165.000","12.119","12.000","999.90"
"Pinkie Pie","166.000","12.119","12.000","999.90"
"Pinkie Pie","167.000","12.119","12.000","999.90"
"Pinkie Pie","168.000","12.119","12.000","999.90"
"Pinkie Pie","169.000","12.119","12.000","999.90"
"Pinkie Pie","170.000","12.119","12.000","999.90"
"Pinkie Pie","171.000","12.119","12.000","999.90"
"Pinkie Pie","172.000","12.119","12.000","999.90"
"Pinkie Pie","173.000","12.119","12.000","999.90"
"Pinkie Pie","174.000","12.119","12.000","999.90"
"Pinkie Pie","175.000","12.119","12.000","999.90"
"Pinkie Pie","176.000","12.119","12.000","999.90"
"Pinkie Pie","177.000","12.119","12.000","999.90"
"Pinkie Pie","178.000","12.119","12.000","999.90"
"Pinkie Pie","179.000","12.119","12.000","999.90"
"Pinkie Pie","180.000","12.119","12.000","999.90"
"Pinkie Pie","181.000","12.119","12.000","999.90"
"Pinkie Pie","182.000","12.119","12.000","999.90"
"Pinkie Pie","183.000","12.119","12.000","999.90"
"Pinkie Pie","184.000","12.119","12.000","999.90"
"Pinkie Pie","185.000","12.119","12.000","999.90"
"Pinkie Pie","186.000","12.119","12.000","999.90"
"Pinkie Pie","187.000","12.119","12.000","999.90"
"Pinkie Pie","188.000","12.119","12.000","999.90"
"Pinkie Pie","189.000","12.119","12.000","999.90"
"Pinkie Pie","190.000","12.119","12.000","999.90"
"Pinkie Pie","191.000","12.119","12.000","999.90"
"Pinkie Pie","192.000","12.119","12.000","999.90"
"Pinkie Pie","193.000","12.119","12.000","999.90"
"Pinkie Pie","194.000","12.119","12.000","999.90"
"Pinkie Pie","195.000","12.119","12.000","999.90"
"Pinkie Pie","196.000","12.119","12.000","999.90"
"Pinkie Pie","197.000","12.119","12.000","999.90"
"Pinkie Pie","198.000","12.119","12.000","999.90"
